scene	Nc	Hc	full_histogram
17DRP5sb8fy_region5	6	2.338184019985769	"[32410. 31350.     0.     0. 38434.     0.     0.     0.     0.     0.
  2068.     0.     0. 29364.     0.     0.     0.     0.     0.     0.
 14839.]"
17DRP5sb8fy_region6	4	1.82958140976205	"[50977. 20941.     0.     0.     0.     0.     0. 16054.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 20004.]"
17DRP5sb8fy_region8	8	2.6472263152131474	"[42656.  9976.     0.     0. 24942.     0.     0.  3922.     0.     0.
 21580.     0.     0. 29845.     0.     0.     0.     0.     0.  2832.
 15747.]"
1LXtFkjw3qL_region13	3	0.8615884532552567	"[15418.  1160.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  2350.]"
17DRP5sb8fy_region1	6	1.9439108286439437	"[68308. 19611.     0.     0.     0.     0.     0. 11873.     0.     0.
     0.     0.  2569.     0.     0.     0.     0.  7733.     0.     0.
 14499.]"
17DRP5sb8fy_region0	6	2.143000397807077	"[68515. 20288.     0. 13737.     0.     0.     0.     0.     0.     0.
     0.     0.     0. 35289.     0.     0.     0.     0.     0.   591.
 35491.]"
17DRP5sb8fy_region3	9	2.332438017339291	"[62292. 19561.  4904.     0.     0.     0.     0. 14305.     0.     0.
     0.  2327.     0.     0.     0.     0.  5751.  2631.     0.  1625.
 18684.]"
17DRP5sb8fy_region7	8	2.473715116228588	"[42604. 25669.     0.     0.  4905. 14860.     0.     0.     0.     0.
  1430.     0.     0. 43294.     0.     0.     0.     0.     0.  2681.
 18333.]"
17DRP5sb8fy_region2	7	1.6696990638814557	"[55606.  7300.    86.     0.     0.     0.     0.  8685.     0.     0.
     0.   178.     0.     0.     0.     0.  7120.     0.     0.     0.
  7278.]"
1LXtFkjw3qL_region1	6	2.035557820126688	"[45148. 20975.     0. 11571.     0.     0.     0.     0.     0.     0.
     0.     0.     0. 20346.     0.     0.     0.     0.     0.  4710.
 96608.]"
1LXtFkjw3qL_region16	9	2.6496211629615494	"[44963. 17864.     0.  8426.  3459.     0.     0.  6202.  5963.     0.
  3198.     0.     0.     0.     0.     0.     0.     0.     0.  8705.
 19810.]"
1LXtFkjw3qL_region10	9	2.6759946867970696	"[43619. 32466.  9705.     0.  4724.     0.  6806. 10534.     0.     0.
  4393.     0.     0.     0.     0.     0.     0.     0.     0.  3981.
 21388.]"
1LXtFkjw3qL_region0	10	2.476691534142815	"[32176. 22328.     0.  7826.     0.     0.  6046.  2952. 15188.     0.
   439.     0.     0. 15712.     0.     0.     0.     0.     0.  3671.
 83866.]"
1LXtFkjw3qL_region14	6	1.8521290021558765	"[54022. 15220.     0.     0.     0.     0.     0.  5680.     0. 45196.
  4379.     0.     0.     0.     0.     0.     0.     0.     0.  1058.
     0.]"
1LXtFkjw3qL_region12	5	1.945772896245242	"[46392. 18503.     0.     0.     0.     0.     0. 18358. 25112.     0.
  1133.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
1LXtFkjw3qL_region2	7	2.2119305151058213	"[39640. 10722.  3103.     0.     0.     0.     0.     0.  5702.     0.
     0.     0.     0.     0.     0.     0.     0.     0.  8138. 10597.
 53207.]"
1LXtFkjw3qL_region22	4	1.8184166946058773	"[23852.  6935.     0.     0.     0.     0.     0.  9303.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  9865.]"
17DRP5sb8fy_region9	6	2.1762412576728174	"[24207. 11220.  5834.     0.     0.     0.     0.     0.     0.     0.
     0.  7525.     0.     0.     0.     0.     0.   714.     0.     0.
  7781.]"
17DRP5sb8fy_region4	6	1.694828755181049	"[82996. 14147.     0.     0.     0. 33103.     0.  8445.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  4728.
   287.]"
1LXtFkjw3qL_region24	1	-0.0	"[2441.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
    0.    0.    0.    0.    0.    0.    0.    0.    0.]"
1LXtFkjw3qL_region17	9	2.598474405498913	"[65051. 21864.     0.  7948.  6873.     0. 12716.  6421. 10869.     0.
  3406.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 19543.]"
1LXtFkjw3qL_region28	1	-0.0	"[47961.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
1LXtFkjw3qL_region23	5	2.174893512874335	"[14647.  6643.     0.     0.     0.     0.     0. 10039. 20981.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  6678.]"
1LXtFkjw3qL_region20	5	1.9171731280573625	"[41148. 17639.     0.     0.  4310.     0.     0.  5701.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 17028.]"
1LXtFkjw3qL_region26	5	1.7125508346556848	"[76951. 12281.  5664.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0. 21940.
 11495.]"
1LXtFkjw3qL_region15	6	2.0801856983914	"[65084. 17281.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.  4439.  9071. 15118.
 17691.]"
1LXtFkjw3qL_region18	9	2.630760898559495	"[57457. 17286.  7841. 17041.     0.     0.     0.  7656.  8721.     0.
   762.     0.     0.     0.     0.     0.     0.     0.     0.  8867.
 21369.]"
1LXtFkjw3qL_region11	7	2.3044095751938105	"[48552. 44291.     0.     0.  9529.  9567.  4315.  5557.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 46565.]"
1LXtFkjw3qL_region9	2	0.4429779717743433	"[7149.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
    0.    0.    0.    0.    0.    0.    0.    0.  724.]"
1LXtFkjw3qL_region21	7	1.8831375723600876	"[34108.  6013.     0.     0.     0.     0.     0.  5741.     0.     0.
  1717.     0.     0.     0.     0.     0.  2664.  1663.     0.     0.
  3403.]"
1LXtFkjw3qL_region19	8	2.220631471391236	"[68521. 19220.     0.  9620. 10509.     0.     0.  4239.  2950.     0.
  1859.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 21518.]"
