scene	Nb	Pn	H	base_histogram	unique_base_labels
scene0531_00	2	0.0	0.9918669465725451	[4864 3931]	[0. 1.]
scene0415_02	4	0.29968839586189705	1.6096117526844353	[12892  3561  2196  3106]	[0. 1. 2. 7.]
scene0415_00	4	0.2854514755172501	1.667454225810262	[12565  4051  2469  3210]	[0. 1. 2. 7.]
scene0415_01	4	0.28707804349965554	1.8703356436503478	[6693 3445 2073 3386]	[0. 1. 2. 7.]
scene0119_00	4	0.26847389135604993	1.6540265300895234	[13147  5439  7249   966]	[0. 1. 2. 7.]
scene0447_02	4	0.1553282879934547	1.9292444287476738	[8040 5810 6859 3186]	[0. 1. 2. 7.]
scene0447_01	4	0.16276236144957157	1.8883997380986464	[9329 5899 5600 2847]	[0. 1. 2. 7.]
scene0447_00	5	0.14657555889090765	2.2437167280731867	[6498 6401 5933 3104 2998]	[0. 1. 2. 7. 8.]
scene0705_01	5	0.0	2.121811452031689	[13492 12893  7987  4283  3093]	[0. 1. 4. 6. 8.]
scene0528_01	4	0.0	1.6135141658389784	[18633 25079  5678  2807]	[0. 1. 4. 6.]
scene0230_00	7	0.09556019611403668	2.3585757909131777	[14852 10530  1306  5824  5010   442  4834]	[0. 1. 2. 4. 5. 7. 8.]
scene0528_00	4	0.0	1.7075701679412785	[18595 28034  9389  3779]	[0. 1. 4. 6.]
scene0007_00	4	0.0	1.7582909964357423	[31060 13956 19479  4550]	[0. 1. 2. 7.]
scene0705_00	4	0.0	1.694486388530742	[36559 16040 12113  5237]	[0. 1. 4. 6.]
scene0191_02	6	0.0	1.9996464316909939	[14583 22557  2642  4011  3944  1459]	[0. 1. 4. 6. 7. 8.]
scene0705_02	6	0.0	2.0288161535735143	[37017 23083 10416  4265  5375  2222]	[0. 1. 4. 6. 7. 8.]
scene0581_00	5	0.1477626852534672	2.184965433532059	[12583  8333  5698  6744  3031]	[0. 1. 2. 7. 8.]
scene0620_01	6	0.04909072258612857	2.114443532619046	[18492 16034 10895  1786  1754  3502]	[0. 1. 3. 4. 7. 8.]
scene0620_00	6	0.13342281179551999	2.132878051382852	[19352 15392  9662  2760  2348  2368]	[0. 1. 3. 4. 7. 8.]
scene0581_02	5	0.1587516960651289	2.168185112552465	[10977  9890  7273  7802  1911]	[0. 1. 2. 7. 8.]
scene0503_00	5	0.0	1.8321214724950101	[20809 49716 20768  7418  2004]	[0. 1. 5. 6. 7.]
scene0581_01	5	0.16831099985274628	2.1802281677764768	[12705  8330  7302  8099  2471]	[0. 1. 2. 7. 8.]
scene0584_02	6	0.0	2.055826324252759	[30273 36301 12957 11167   915  3692]	[0. 1. 4. 6. 7. 8.]
scene0191_01	6	0.0	1.9595179935884646	[19781 29030  2974  3716  3002  4159]	[0. 1. 4. 6. 7. 8.]
scene0141_02	7	0.07863785652549697	2.310748710808909	[41183 18050  2822  9594  6445  7644  6598]	[0. 1. 2. 4. 5. 7. 8.]
scene0191_00	6	0.0	1.770128088150953	[20292 31392  1332  3987  2550  2417]	[0. 1. 4. 6. 7. 8.]
scene0141_00	7	0.057040580776822454	2.398491375404249	[39134 20089  3838  9345  6099 10898  7375]	[0. 1. 2. 4. 5. 7. 8.]
