scene	Nb	Pn	H	base_histogram	unique_base_labels	cluster	score
scene0126_00	6	0.2090258401067572	2.293957889183771	[30638. 25813. 11342.  7292.  3925. 12355.]	[0]	0	0.9428614029362895
scene0640_02	9	0.1348145875552039	2.64598328116935	[68918. 35526. 20634. 15138.  5263.  6935.  8580.  6588. 14896.]	[0]	1	1.0620312204211049
scene0247_01	8	0.018051954667689	2.802040112108415	[78056. 69037. 16379. 33573. 23459. 20305. 37804. 33358.]	[0]	2	0.849646045667347
scene0604_00	10	0.0	2.9234489026041888	[31374. 29144. 45997.  7607.  6077.  7786.  5475.  4538. 26789. 16602.]	[0]	3	0.9145987919514273
scene0315_00	7	0.0167000624117202	2.6500238649339662	[19549. 50681. 25472. 31811. 15284. 10044. 27508.]	[0]	4	0.6925630239974274
scene0604_02	10	0.0	2.6991265925670613	[59571. 29496. 41842.  5644.  7203.  8216.  6529.  3797.  2481. 30643.]	[0]	5	0.6891085080070338
scene0102_01	8	0.0112864986755836	2.76178462014633	[48109. 29618.  8352. 14658.  8410. 16509. 39157. 22816.]	[0]	6	0.7877856237740082
scene0137_01	7	0.0550267137276473	2.694562016045148	[32423. 21326. 26955.  8031. 15049. 17081. 30508.]	[0]	7	0.8585387150016498
scene0588_03	9	0.0136900510075756	2.684664687227724	[ 37654. 128528.   9355.  38918.  53248.  42904.   5715.  20882.  15924.]	[0]	8	0.7178652365666953
scene0547_01	10	0.0414212455721229	3.008407757302076	[21595. 18984.  8969. 13625.  4732.  5717.  1666.  5669.  3775.  9742.]	[0]	9	1.1309921054126595
scene0451_02	9	0.0056794354905282	2.8745574211054934	[34685. 42902. 43079. 11430.  7674.  9642. 37752.  9090. 14318.]	[0]	10	0.8834136087557284
scene0341_00	7	0.1503195133734463	2.537961097453981	[29572. 23096.  5052. 10679.  5046.  8763. 15541.]	[0]	11	1.0024799607989068
scene0106_00	7	0.0039494573987808	2.532686543672272	[47478. 63298. 35136. 15913. 28961.  6661. 15191.]	[0]	12	0.5342917721379058
scene0592_00	7	0.063374650139944	2.3036514231798506	[101177.  91926.   2662.  39221.  21215.  14832.  28225.]	[0]	13	0.4919926049673252
scene0692_00	6	0.2732889712103542	2.433314906298853	[29004. 32212. 12041. 22170. 11654.  9569.]	[0]	14	1.2861721506970047
scene0393_00	6	0.1216111628324341	2.3686861263865704	[32243. 33966. 11903.  5031. 16590. 17460.]	[0]	15	0.7415352616995661
scene0340_00	8	0.0531368412322397	2.6914107135556424	[49193. 21572.  6075. 24773.  7993.  6842. 16821. 21348.]	[0]	16	0.8493944008133789
scene0220_00	8	0.0472986846326596	2.505616915434404	[82215. 31794. 28807.  9757.  2483. 18799. 13260. 17350.]	[0]	17	0.644170428235189
scene0394_00	8	0.0101191336661026	2.426945528425676	[49206. 56481. 26711. 21535.  3884.  3392.   711. 24314.]	[0]	18	0.4475114138875455
scene0692_01	6	0.3162117704852143	2.25583282540451	[38569. 35180. 13251. 22541.  9630.  2837.]	[0]	19	1.2435066531950016
